,Note that Apple returns only start in 1981!,,,,,,,,,
,,,,,,,,,,
,,,CAPM factor,incl. in FF3,incl. in FF3,incl. in FF5,incl. in FF5,,,
Month,AAPL return,RF,Mkt-RF,SMB,HML,RMW,CMA,,,
199208,-1.35,0.26,-2.38,-0.41,-1.04,3.79,-1.6,,,
199209,-1.90,0.26,1.19,0.5,-0.21,1.67,-0.5,,,
199210,16.34,0.23,1.02,2.03,-2.1,1.35,-0.81,,,
199211,9.75,0.23,4.13,3.93,-1.48,-0.79,-1.92,,,
199212,3.91,0.28,1.53,1.64,2.52,-0.53,0.75,,,
199301,-0.42,0.23,0.93,2.1,5.87,-1.63,2.78,,,
199302,-10.72,0.22,0.12,-3.45,6.42,-0.4,4.05,,,
199303,-2.83,0.25,2.3,0.04,1.22,-0.34,0.92,,,
199304,-0.49,0.24,-3.05,-0.88,2.61,-3.57,1.52,,,
199305,10.72,0.22,2.89,1.9,-3.41,-0.05,-1.17,,,
199306,-30.24,0.25,0.31,0.12,2.61,-0.87,1.1,,,
199307,-29.75,0.24,-0.34,0.9,3.24,-2.14,2.02,,,
199308,-4.07,0.25,3.71,0.26,-0.45,-1.1,-0.03,,,
199309,-11.79,0.26,-0.12,3.06,-0.45,0.69,-0.09,,,
199310,31.55,0.22,1.41,1.6,-1.54,-0.06,0.6,,,
199311,2.83,0.25,-1.89,-1.42,-0.27,1.73,-0.96,,,
199312,-7.14,0.23,1.65,1.37,0.57,0.79,-0.3,,,
199401,11.97,0.25,2.87,-0.15,2.09,-2.31,1.47,,,
199402,11.82,0.21,-2.55,2.65,-1.44,2.52,-1.05,,,
199403,-8.90,0.27,-4.78,-1.03,1.31,0.61,1.25,,,
199404,-9.77,0.27,0.68,-1.06,1.68,0.89,1.12,,,
199405,-2.10,0.31,0.58,-2.45,0.2,0.89,0.72,,,
199406,-9.40,0.31,-3.03,-0.52,1.68,1.08,1.49,,,
199407,27.12,0.28,2.82,-1.83,0.6,-0.88,0.13,,,
199408,7.78,0.37,4.01,1.24,-2.83,0.51,-1.43,,,
199409,-6.91,0.37,-2.31,2.65,-1.91,0.46,0.96,,,
199410,28.20,0.38,1.34,-2.34,-1.75,0.3,-0.62,,,
199411,-13.47,0.37,-4.04,0.12,-0.95,0.78,-0.45,,,
199412,4.70,0.44,0.86,-0.03,0.53,0.3,0.32,,,
199501,3.53,0.42,1.8,-2.73,0.82,0.86,-0.84,,,
199502,-1.87,0.4,3.63,-0.57,1.05,0.57,-0.32,,,
199503,-10.76,0.46,2.19,-0.77,-1.07,-0.66,0.18,,,
199504,8.51,0.44,2.11,-0.44,2.25,-0.61,1.02,,,
199505,8.97,0.54,2.9,-2.04,1.69,0.72,0.09,,,
199506,11.73,0.47,2.72,2.95,-2.27,-0.59,-2.43,,,
199507,-3.10,0.45,3.72,2.12,-1.69,0.64,-1.69,,,
199508,-4.18,0.47,0.55,1.83,2.71,-1.34,1.63,,,
199509,-13.37,0.43,3.35,-1.9,-0.77,1.24,0.36,,,
199510,-2.52,0.47,-1.52,-4.08,-0.75,1.92,-0.06,,,
199511,5.32,0.42,3.96,-1.17,0.94,-0.81,1.19,,,
199512,-16.39,0.49,1.03,0.7,0.85,-1.04,2.97,,,
199601,-13.33,0.43,2.26,-2.52,0.32,-0.21,2.26,,,
199602,-0.45,0.39,1.33,1.79,-1.43,0.24,-1.79,,,
199603,-10.68,0.39,0.73,1.52,0.99,1.17,-0.96,,,
199604,-0.76,0.46,2.06,4.63,-3.9,0.09,-2.18,,,
199605,7.18,0.42,2.36,3.12,-1.21,0.23,-0.21,,,
199606,-19.62,0.4,-1.14,-3.47,1.55,3.43,1.09,,,
199607,4.76,0.45,-5.97,-3.61,4.45,3.23,2.6,,,
199608,10.23,0.41,2.77,2.52,-0.46,-0.47,-2.43,,,
199609,-8.51,0.44,5.01,-1.33,-3.15,1.35,-2.18,,,
199610,3.66,0.42,0.86,-3.87,5.12,1.38,2.97,,,
199611,4.89,0.41,6.25,-3.8,1.16,1.7,-0.73,,,
199612,-13.47,0.46,-1.7,3.19,0.9,0.37,1.51,,,
199701,-20.36,0.45,4.98,-1.82,-1.64,1.03,-0.27,,,
199702,-2.26,0.39,-0.49,-2.55,5.19,0.53,3.4,,,
199703,12.31,0.43,-5.02,-0.43,3.81,0.83,1.67,,,
199704,-6.85,0.43,4.04,-5.75,-0.07,2.93,-0.91,,,
199705,-2.21,0.49,6.74,4.63,-3.87,-1.12,-2.9,,,
199706,-14.29,0.37,4.1,1.23,1.23,0.59,0.54,,,
199707,22.81,0.43,7.33,-2.85,0.84,-0.41,-2.54,,,
199708,24.29,0.41,-4.15,7.67,1.38,-0.91,-0.03,,,
199709,-0.29,0.44,5.35,2.55,0.02,-1.39,-0.91,,,
199710,-21.47,0.42,-3.8,-0.49,1.96,1.21,1.89,,,
199711,4.22,0.39,2.98,-5.02,0.78,3.21,1.66,,,
199712,-26.06,0.48,1.32,-2,3.46,1.32,1.91,,,
199801,39.52,0.43,0.15,-1.4,-1.45,0.55,-0.83,,,
199802,29.01,0.39,7.04,-0.05,-0.13,-0.98,-2.42,,,
199803,16.40,0.39,4.76,-0.61,1.06,-0.65,-0.48,,,
199804,-0.45,0.43,0.73,-0.02,0.74,-2.19,-0.23,,,
199805,-2.74,0.4,-3.07,-3.11,4.16,0.9,2.54,,,
199806,7.75,0.41,3.18,-3.66,-2.32,-0.21,-2.91,,,
199807,20.70,0.4,-2.46,-5.28,-0.97,2.04,0.44,,,
199808,-9.93,0.43,-16.08,-5.04,3.4,3.21,5.84,,,
199809,22.24,0.46,6.15,-0.88,-3.31,-2,-2.9,,,
